"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Courses","0","Courses feature","1","0","Create","0"
"0","Dashboard","0","Dashboard feature","1","0","Dashboard","0"
"0","Authentication","0","Login feature","2","0","Login","0"
"0","Authentication","0","Login feature","1","0","Navigate","0"
"0","Authentication","0","Registration feature","1","0","Navigate","0"
"0","Courses","0","Courses feature","1","0","UI","0"
"0","Authentication","0","Registration feature","1","0","Registration","0"
"0","Authentication","0","Login feature","3","0","Login (negative)","0"
"0","Courses","0","Courses feature","1","0","Update","0"
